Strain_ID	Portal_of_entry	Collection_ID	Bioproject	Biosample	Assembly	Phylogroup	ST_Warwick	Stc_Warwick	Subgroups*	O_serogroup	H-type
R1B1G11	Digestive	2005	PRJEB39260	SAMEA7047226	GCA_903975545.1	A	10	STc10	B	O_not_found	H19
R1B1G12	Digestive	2005	PRJEB39260	SAMEA7047227	GCA_903975555.1	F	62	ST62		O7	H45
R1B1G15	Catheter	2005	PRJEB39260	SAMEA7047228	GCA_903975565.1	F	354	ST354		O153	H34
R1B1G3	Urinary	2005	PRJEB39260	SAMEA7047229	GCA_903975575.1	B2	12	STc12		O4	H1
R1B1G4	unknown	2005	PRJEB39260	SAMEA7047230	GCA_903975585.1	B2	127	STc127		O6	H31
R1B1G5	Urinary	2005	PRJEB39260	SAMEA7047231	GCA_903975595.1	B2	73	STc73	F	O6	H1
R1B1G6	Urinary	2005	PRJEB39260	SAMEA7047232	GCA_903975605.1	B2	73	STc73	D	O2	H1
R1B1G7	Urinary	2005	PRJEB39260	SAMEA7047233	GCA_903975615.1	B2	73	STc73	D	O2	H1
R1B1G9	Urinary	2005	PRJEB39260	SAMEA7047234	GCA_903975635.1	B2	131	STc131	C0	O25b	H4
R1B1H1	Urinary	2005	PRJEB39260	SAMEA7047240	GCA_903975625.1	B2	1604	STc14		O75	H5
R1B1H10	Urinary	2005	PRJEB39260	SAMEA7047235	GCA_903975645.1	B2	127	STc127		O6	H31
R1B1H11	Urinary	2005	PRJEB39260	SAMEA7047236	GCA_903975695.1	B2	95	STc95	D	O1	H7
R1B1H12	Digestive	2005	PRJEB39260	SAMEA7047237	GCA_903975685.1	B2	131	STc131	C1	O25b	H4
R1B1H13	Urinary	2005	PRJEB39260	SAMEA7047238	GCA_903975665.1	B2	73	STc73	E	O6	H1
R1B1H15	Urinary	2005	PRJEB39260	SAMEA7047239	GCA_903975675.1	D	70	ST70		O23	H15
R1B1H2	unknown	2005	PRJEB39260	SAMEA7047241	GCA_903975655.1	B2	131	STc131	C1	O25b	H4
R1B1H6	Digestive	2005	PRJEB39260	SAMEA7047242	GCA_903975705.1	B2	95	STc95	D	O1	H7
R1B1H7	Digestive	2005	PRJEB39260	SAMEA7047243	GCA_903975715.1	F	59	STc59		O1	H7
R1B1H8	Gynecologic	2005	PRJEB39260	SAMEA7047244	GCA_903975735.1	B2	95	STc95	D	O1	H7
R1B1H9	unknown	2005	PRJEB39260	SAMEA7047245	GCA_903975725.1	B2	144	ST144		O16	H6
R1B1I10	Urinary	2005	PRJEB39260	SAMEA7047246	GCA_903975745.1	D	69	STc69	D	O17	H18
R1B1I12	Urinary	2005	PRJEB39260	SAMEA7047247	GCA_903975805.1	B2	95	STc95	D	O1	H7
R1B1I14	Urinary	2005	PRJEB39260	SAMEA7047248	GCA_903975775.1	B2	95	STc95	D	O45	H7
R1B1I15	Digestive	2005	PRJEB39260	SAMEA7047249	GCA_903975785.1	B2	550	STc14		O75	H5
R1B1I3	Digestive	2005	PRJEB39260	SAMEA7047250	GCA_903975765.1	B1	162	STc162		O8	H19
R1B1I5	Urinary	2005	PRJEB39260	SAMEA7047251	GCA_903975795.1	B2	3699	ST3699		O54	H14
R1B1I6	Urinary	2005	PRJEB39260	SAMEA7047252	GCA_903975755.1	B2	12	STc12		O4	H1
R1B1I8	Urinary	2005	PRJEB39260	SAMEA7047253	GCA_903975825.1	B2	95	STc95	D	O2	H4
R1B1I9	Urinary	2005	PRJEB39260	SAMEA7047254	GCA_903975835.1	B2	73	STc73	C	O6	H1
R1B1J1	Urinary	2005	PRJEB39260	SAMEA7047257	GCA_903975845.1	B2	14	STc14		O18	H5
R1B1J11	Urinary	2005	PRJEB39260	SAMEA7047255	GCA_903975815.1	B2	73	STc73	C	O6	H1
R1B1J13	Urinary	2005	PRJEB39260	SAMEA7047256	GCA_903975875.1	B2	95	STc95	E	O2	H4
R1B1J2	Urinary	2005	PRJEB39260	SAMEA7047258	GCA_903975885.1	B2	73	STc73	F	O6	H1
R1B1J3	Urinary	2005	PRJEB39260	SAMEA7047259	GCA_903975855.1	D	38	STc38		O86	H18
R1B1J4	Digestive	2005	PRJEB39260	SAMEA7047260	GCA_903975865.1	B2	95	STc95	B	O18	H7
R1B1J6	Skin	2005	PRJEB39260	SAMEA7047261	GCA_903975905.1	C	1480	STc88		O9	H17
R1B1J7	Multiple	2005	PRJEB39260	SAMEA7047262	GCA_903975895.1	G	117	ST117		O24	H4
R1B2A1	Multiple	2005	PRJEB39260	SAMEA7047264	GCA_903975915.1	B2	131	STc131	C1	O25b	H4
R1B2A11	Urinary	2005	PRJEB39260	SAMEA7047263	GCA_903975925.1	B2	999	ST999		O_not_found	H4
R1B2A4	Urinary	2005	PRJEB39260	SAMEA7047265	GCA_903975935.1	B2	95	STc95	D	O1	H7
R1B2A5	Urinary	2005	PRJEB39260	SAMEA7047266	GCA_903975945.1	B2	73	STc73	C	O6	H1
R1B2A6	unknown	2005	PRJEB39260	SAMEA7047267	GCA_903975955.1	F	62	ST62		O7	H45
R1B2A8	Urinary	2005	PRJEB39260	SAMEA7047268	GCA_903975985.1	C	23	STc88		O104	H9
R1B2A9	unknown	2005	PRJEB39260	SAMEA7047269	GCA_903975965.1	B1	58	STc58		O9	H25
R1B2B14	Urinary	2005	PRJEB39260	SAMEA7047270	GCA_903975975.1	B2	14	STc14		O18	H5
R1B2B2	Urinary	2005	PRJEB39260	SAMEA7047271	GCA_903976015.1	B2	131	STc131	C1	O25b	H4
R1B2B3	Urinary	2005	PRJEB39260	SAMEA7047272	GCA_903976045.1	B2	95	STc95	D	O1	H7
R1B2B6	unknown	2005	PRJEB39260	SAMEA7047273	GCA_903976035.1	B1	58	STc58		O8	H25
R1B2C10	Urinary	2005	PRJEB39260	SAMEA7047274	GCA_903976025.1	A	10	STc10	C	O101	H9
R1B2C11	Urinary	2005	PRJEB39260	SAMEA7047275	GCA_903976005.1	B2	95	STc95	D	O1	H7
R1B2C5	Multiple	2005	PRJEB39260	SAMEA7047276	GCA_903976055.1	B1	155	STc58		O100	H34
R1B2C7	unknown	2005	PRJEB39260	SAMEA7047277	GCA_903975995.1	E	57	ST57		O171	H10
R1B2D6	unknown	2005	PRJEB39260	SAMEA7047278	GCA_903976095.1	D	362	STc362		O15	H1
R1B2D9	Catheter	2005	PRJEB39260	SAMEA7047279	GCA_903976075.1	B1	101	ST101		O153	H21
R1B2E1	Urinary	2005	PRJEB39260	SAMEA7047280	GCA_903976065.1	B2	636	ST636		O83	H7
R1B2E2	Urinary	2005	PRJEB39260	SAMEA7047281	GCA_903976085.1	B2	421	STc95	D	O1	H7
R1B2E3	Urinary	2005	PRJEB39260	SAMEA7047282	GCA_903976105.1	B2	127	STc127		O6	H31
R1B2E8	Urinary	2005	PRJEB39260	SAMEA7047283	GCA_903976115.1	B2	428	ST428		O120	H4
R1B2F10	Urinary	2005	PRJEB39260	SAMEA7047284	GCA_903976125.1	B2	141	STc141		O2	H6
R1B2F6	Urinary	2005	PRJEB39260	SAMEA7047285	GCA_903976135.1	D	394	ST394		O17	H18
R1B2F7	Urinary	2005	PRJEB39260	SAMEA7047286	GCA_903976145.1	D	393	STc393		O15	H1
R1B2G1	unknown	2005	PRJEB39260	SAMEA7047288	GCA_903976185.1	A	93	STc93		O5	H10
R1B2G11	unknown	2005	PRJEB39260	SAMEA7047287	GCA_903976165.1	C	23	STc88		O78	H4
R1B2G2	Urinary	2005	PRJEB39260	SAMEA7047289	GCA_903976155.1	A	1711	STc46		O9	H4
R1B2G3	Catheter	2005	PRJEB39260	SAMEA7047290	GCA_903976175.1	B2	73	STc73	C	O6	H1
R1B2G4	Urinary	2005	PRJEB39260	SAMEA7047291	GCA_903976195.1	B1	443	ST443		O64	H21
R1B2G5	unknown	2005	PRJEB39260	SAMEA7047292	GCA_903976215.1	B2	73	STc73	B	O2	H1
R1B2H1	Urinary	2005	PRJEB39260	SAMEA7047293	GCA_903976225.1	B2	95	STc95	D	O45	H7
R1B2H5	Urinary	2005	PRJEB39260	SAMEA7047294	GCA_903976205.1	E	3381	ST3381		O11	H25
R1B2H6	Urinary	2005	PRJEB39260	SAMEA7047295	GCA_903976245.1	B1	443	ST443		O64	H21
R1B2H7	unknown	2005	PRJEB39260	SAMEA7047296	GCA_903976235.1	F	648	STc648		O1	H6
R1B2H8	Urinary	2005	PRJEB39260	SAMEA7047297	GCA_903976255.1	D	69	STc69	D	O17	H18
R1B2H9	unknown	2005	PRJEB39260	SAMEA7047298	GCA_903976265.1	B1	1079	ST1079		O6	H49
R1B2I10	Urinary	2005	PRJEB39260	SAMEA7047299	GCA_903976285.1	B2	12	STc12		O4	H5
R1B2I2	Urinary	2005	PRJEB39260	SAMEA7047300	GCA_903976275.1	B2	131	STc131	C1	O25b	H4
R1B2I3	unknown	2005	PRJEB39260	SAMEA7047301	GCA_903976305.1	B2	131	STc131	C1	O25b	H4
R1B2J1	Urinary	2005	PRJEB39260	SAMEA7047302	GCA_903976315.1	D	38	STc38		O86	H18
R1B2J5	unknown	2005	PRJEB39260	SAMEA7047303	GCA_903976295.1	G	117	ST117		O8	H4
R1B2J9	Skin	2005	PRJEB39260	SAMEA7047304	GCA_903976325.1	D	69	STc69	D	O17	H18
R1B3A1	Urinary	2005	PRJEB39260	SAMEA7047305	GCA_903976335.1	B2	73	STc73	D	O2	H1
R1B3A3	Urinary	2005	PRJEB39260	SAMEA7047306	GCA_903976355.1	D	69	STc69	D	O17	H18
R1B3A4	Urinary	2005	PRJEB39260	SAMEA7047307	GCA_903976345.1	B2	131	STc131	C1	O25b	H4
R1B3A5	Urinary	2005	PRJEB39260	SAMEA7047308	GCA_903976385.1	B2	95	STc95	E	O2	H4
R1B3A6	unknown	2005	PRJEB39260	SAMEA7047309	GCA_903976365.1	E	57	ST57		O100	H25
R1B3B2	Digestive	2005	PRJEB39260	SAMEA7047310	GCA_903976375.1	A	399	ST399		O39	H12
R1B3B3	unknown	2005	PRJEB39260	SAMEA7047311	GCA_903976405.1	B2	1236	ST1236		O68	H5
R1B3C1	Urinary	2005	PRJEB39260	SAMEA7047312	GCA_903976395.1	A	167	STc10	C	O101	H9
R1B3C3	Digestive	2005	PRJEB39260	SAMEA7047313	GCA_903976415.1	D	69	STc69	A	O17	H18
R1B3C5	Digestive	2005	PRJEB39260	SAMEA7047314	GCA_903976505.1	B2	95	STc95	B	O18	H7
R1B3D1	Digestive	2005	PRJEB39260	SAMEA7047315	GCA_903976435.1	A	10	STc10	C	O101	H9
R1B3D2	Urinary	2005	PRJEB39260	SAMEA7047316	GCA_903976475.1	B2	73	STc73	C	O6	H1
R1B3D4	Digestive	2005	PRJEB39260	SAMEA7047317	GCA_903976425.1	B2	95	STc95	D	O1	H7
R1B3D5	Urinary	2005	PRJEB39260	SAMEA7047318	GCA_903976485.1	B2	73	STc73	F	O6	H1
R1B3E3	unknown	2005	PRJEB39260	SAMEA7047319	GCA_903976495.1	C	88	STc88		O8	H9
R1B3E4	Urinary	2005	PRJEB39260	SAMEA7047320	GCA_903976445.1	C	410	STc88		O179	H6
R1B3E5	Urinary	2005	PRJEB39260	SAMEA7047321	GCA_903976455.1	C	6841	STc88		O114	H25
R1B3F2	Urinary	2005	PRJEB39260	SAMEA7047322	GCA_903976465.1	B1	539	ST539		O159	H28
R1B3F3	Digestive	2005	PRJEB39260	SAMEA7047323	GCA_903976515.1	A	10	STc10	B	O37	H4
R1B3F5	Urinary	2005	PRJEB39260	SAMEA7047324	GCA_903976535.1	B2	95	STc95	D	O1	H7
R1B3G1	Digestive	2005	PRJEB39260	SAMEA7047325	GCA_903976525.1	B2	372	STc372		O18	H31
R1B3G2	Urinary	2005	PRJEB39260	SAMEA7047326	GCA_903976545.1	B2	73	STc73	F	O6	H1
R1B3G3	Digestive	2005	PRJEB39260	SAMEA7047327	GCA_903976555.1	A	6468	STc10	B	O37	H4
R1B3G5	Urinary	2005	PRJEB39260	SAMEA7047328	GCA_903976565.1	B2	95	STc95	D	O45	H7
R1B3H3	unknown	2005	PRJEB39260	SAMEA7047329	GCA_903976595.1	D	393	STc393		O15	H1
R1B3H4	Urinary	2005	PRJEB39260	SAMEA7047330	GCA_903976635.1	B2	144	ST144		O16	H6
R1B3H5	Digestive	2005	PRJEB39260	SAMEA7047331	GCA_903976585.1	A	48	STc10	A	O_not_found	H30
R1B3I1	Digestive	2005	PRJEB39260	SAMEA7047332	GCA_903976615.1	A	1072	STc607		O4	H4
R1B3I2	Urinary	2005	PRJEB39260	SAMEA7047333	GCA_903976605.1	B2	95	STc95	D	O1	H7
R1B3I3	Urinary	2005	PRJEB39260	SAMEA7047334	GCA_903976645.1	B2	127	STc127		O6	H31
R1B3I5	Digestive	2005	PRJEB39260	SAMEA7047335	GCA_903976625.1	A	1429	ST1429		O19	H7
R1B3J4	Urinary	2005	PRJEB39260	SAMEA7047336	GCA_903976685.1	B2	421	STc95	D	O1	H7
R1B4C1	Urinary	2005	PRJEB39260	SAMEA7047337	GCA_903976575.1	B2	73	STc73	E	O6	H1
R1B4E1	Multiple	2005	PRJEB39260	SAMEA7047338	GCA_903976675.1	B2	73	STc73	B	O22	H1
R1B4F3	Urinary	2005	PRJEB39260	SAMEA7047339	GCA_903976665.1	B2	95	STc95	D	O1	H7
R1B4G1	Urinary	2005	PRJEB39260	SAMEA7047340	GCA_903976655.1	C	88	STc88		O8	H4
R1B5A11	Urinary	2005	PRJEB39260	SAMEA7047341	GCA_903976695.1	B2	95	STc95	D	O2	H4
R1B5A12	unknown	2005	PRJEB39260	SAMEA7047342	GCA_903976705.1	B2	73	STc73	B	O22	H1
R1B5A13	Digestive	2005	PRJEB39260	SAMEA7047343	GCA_903976725.1	B2	131	STc131	A	O16	H5
R1B5A5	Urinary	2005	PRJEB39260	SAMEA7047344	GCA_903976715.1	F	62	ST62		O7	H45
R1B5A6	Digestive	2005	PRJEB39260	SAMEA7047345	GCA_903976735.1	F	354	ST354		O153	H34
R1B5A9	Catheter	2005	PRJEB39260	SAMEA7047346	GCA_903976755.1	A	93	STc93		O5	H4
R1B5B3	Urinary	2005	PRJEB39260	SAMEA7047347	GCA_903976745.1	B2	73	STc73	E	O6	H1
R1B5B6	Digestive	2005	PRJEB39260	SAMEA7047348	GCA_903976765.1	B2	131	STc131	C2	O25b	H4
R1B5B8	Urinary	2005	PRJEB39260	SAMEA7047349	GCA_903976825.1	B2	14	STc14		O18	H5
R1B5B9	Digestive	2005	PRJEB39260	SAMEA7047350	GCA_903976815.1	A	1421	STc46		O9	H4
R1B5C1	Urinary	2005	PRJEB39260	SAMEA7047353	GCA_903976835.1	D	69	STc69	D	O17	H18
R1B5C11	Urinary	2005	PRJEB39260	SAMEA7047351	GCA_903976785.1	B2	372	STc372		O83	H31
R1B5C13	Urinary	2005	PRJEB39260	SAMEA7047352	GCA_903976795.1	B2	91	ST91		O39	H4
R1B5C3	Urinary	2005	PRJEB39260	SAMEA7047354	GCA_903976775.1	B2	95	STc95	D	O45	H7
R1B5C5	Digestive	2005	PRJEB39260	SAMEA7047355	GCA_903976805.1	cladeI	10921	ST10921		O_not_found	H1
R1B5C6	Urinary	2005	PRJEB39260	SAMEA7047356	GCA_903976865.1	B2	73	STc73	E	O6	H1
R1B5D10	Gynecologic	2005	PRJEB39260	SAMEA7047357	GCA_903976875.1	D	69	STc69	D	O17	H18
R1B5D2	Urinary	2005	PRJEB39260	SAMEA7047358	GCA_903976845.1	B2	95	STc95	C	O2	H7
R1B5D4	Urinary	2005	PRJEB39260	SAMEA7047359	GCA_903976855.1	B2	95	STc95	A	O2	H7
R1B5D5	Urinary	2005	PRJEB39260	SAMEA7047360	GCA_903976905.1	B2	73	STc73	F	O6	H1
R1B5D8	Urinary	2005	PRJEB39260	SAMEA7047361	GCA_903976895.1	B2	95	STc95	D	O1	H7
R1B5E11	Digestive	2005	PRJEB39260	SAMEA7047362	GCA_903976885.1	B2	131	STc131	B	O25b	H4
R1B5E13	Digestive	2005	PRJEB39260	SAMEA7047363	GCA_903976935.1	B1	101	ST101		O15	H10
R1B5E3	unknown	2005	PRJEB39260	SAMEA7047364	GCA_903976925.1	D	449	ST449		O17	H18
R1B5E7	Urinary	2005	PRJEB39260	SAMEA7047365	GCA_903976915.1	B2	10922	STc14		O75	H5
R1B5F10	Urinary	2005	PRJEB39260	SAMEA7047366	GCA_903976945.1	A	10	STc10	B	Onovel14	H19
R1B5F11	Digestive	2005	PRJEB39260	SAMEA7047367	GCA_903976955.1	A	10915	STc10	A	O64	H11
R1B5F12	unknown	2005	PRJEB39260	SAMEA7047368	GCA_903976965.1	D	1652	ST1652		O1	H1
R1B5F2	Urinary	2005	PRJEB39260	SAMEA7047369	GCA_903976975.1	B2	73	STc73	E	O6	H1
R1B5F3	Digestive	2005	PRJEB39260	SAMEA7047370	GCA_903976985.1	B2	141	STc141		O2	H6
R1B5F5	Urinary	2005	PRJEB39260	SAMEA7047371	GCA_903976995.1	C	90	STc88		O8	H9
R1B5F8	Urinary	2005	PRJEB39260	SAMEA7047372	GCA_903977005.1	B2	73	STc73	C	O6	H1
R1B5F9	Digestive	2005	PRJEB39260	SAMEA7047373	GCA_903977055.1	A	10	STc10	C	O101	H9
R1B5G13	Urinary	2005	PRJEB39260	SAMEA7047374	GCA_903977035.1	C	23	STc88		O9	H12
R1B5G3	Urinary	2005	PRJEB39260	SAMEA7047375	GCA_903977075.1	D	69	STc69	D	O17	H18
R1B5G6	Urinary	2005	PRJEB39260	SAMEA7047376	GCA_903977045.1	C	23	STc88		O104 O9	H9
R1B5G7	Digestive	2005	PRJEB39260	SAMEA7047377	GCA_903977065.1	B2	131	STc131	B	O25b	H4
R1B5G9	Urinary	2005	PRJEB39260	SAMEA7047378	GCA_903977025.1	B2	12	STc12		O4	H1
R1B5H2	Urinary	2005	PRJEB39260	SAMEA7047379	GCA_903977015.1	B2	14	STc14		O18	H5
R1B5H8	Urinary	2005	PRJEB39260	SAMEA7047380	GCA_903977085.1	B2	95	STc95	D	O1	H7
R1B5H9	unknown	2005	PRJEB39260	SAMEA7047381	GCA_903977095.1	D	38	STc38		O86	H30
R1B5I1	Urinary	2005	PRJEB39260	SAMEA7047382	GCA_903977105.1	D	393	STc393		O15	H1
R1B5I3	Digestive	2005	PRJEB39260	SAMEA7047383	GCA_903977115.1	B1	336	ST336		O20	H16
R1B5I4	Urinary	2005	PRJEB39260	SAMEA7047384	GCA_903977135.1	B2	131	STc131	B0	O25b	H4
R1B5I5	Urinary	2005	PRJEB39260	SAMEA7047385	GCA_903977125.1	B2	127	STc127		O6	H31
R1B5I6	Urinary	2005	PRJEB39260	SAMEA7047386	GCA_903977185.1	B2	73	STc73	F	O6	H1
R1B5J10	Digestive	2005	PRJEB39260	SAMEA7047387	GCA_903977195.1	A	206	ST206		O162	H29
R1B5J11	Urinary	2005	PRJEB39260	SAMEA7047388	GCA_903977165.1	C	88	STc88		O8	H19
R1B5J2	unknown	2005	PRJEB39260	SAMEA7047389	GCA_903977205.1	B1	155	STc58		O64	H20
R1B5J3	Urinary	2005	PRJEB39260	SAMEA7047390	GCA_903977155.1	B2	14	STc14		O18	H5
R1B5J7	Urinary	2005	PRJEB39260	SAMEA7047391	GCA_903977215.1	B2	12	STc12		O18	H5
R1B6A1	Digestive	2005	PRJEB39260	SAMEA7047395	GCA_903977175.1	E	1508	ST1508		O172	H45
R1B6A11	Digestive	2005	PRJEB39260	SAMEA7047392	GCA_903977145.1	A	10	STc10	C	O101	H9
R1B6A15	Urinary	2005	PRJEB39260	SAMEA7047393	GCA_903977265.1	B2	14	STc14		O18	H5
R1B6A19	Digestive	2005	PRJEB39260	SAMEA7047394	GCA_903977305.1	B2	12	STc12		O4	H5
R1B6A2	Digestive	2005	PRJEB39260	SAMEA7047396	GCA_903977315.1	B2	73	STc73	F	O6	H1
R1B6A3	unknown	2005	PRJEB39260	SAMEA7047397	GCA_903977255.1	B2	73	STc73	E	O6	H1
R1B6A6	Urinary	2005	PRJEB39260	SAMEA7047398	GCA_903977285.1	D	10920	STc393		O15	H1
R1B6A7	Digestive	2005	PRJEB39260	SAMEA7047399	GCA_903977245.1	A	607	STc607		O10	H12
R1B6A8	Urinary	2005	PRJEB39260	SAMEA7047400	GCA_903977235.1	B2	127	STc127		O6	H31
R1B6A9	Digestive	2005	PRJEB39260	SAMEA7047401	GCA_903977295.1	B1	1720	ST1720		O29	H10
R1B6B1	Urinary	2005	PRJEB39260	SAMEA7047408	GCA_903977225.1	B2	14	STc14		O75	H5
R1B6B10	Urinary	2005	PRJEB39260	SAMEA7047402	GCA_903977275.1	F	62	ST62		O7	H45
R1B6B11	unknown	2005	PRJEB39260	SAMEA7047403	GCA_903977325.1	C	23	STc88		O78	H4
R1B6B12	Urinary	2005	PRJEB39260	SAMEA7047404	GCA_903977335.1	B2	73	STc73	E	O6	H1
R1B6B13	Urinary	2005	PRJEB39260	SAMEA7047405	GCA_903977345.1	D	69	STc69	C	O17	H18
R1B6B14	Urinary	2005	PRJEB39260	SAMEA7047406	GCA_903977355.1	B1	129	ST129		O104	H7
R1B6B16	unknown	2005	PRJEB39260	SAMEA7047407	GCA_903977375.1	A	10	STc10	C	O101	H9
R1B6B2	unknown	2005	PRJEB39260	SAMEA7047409	GCA_903977365.1	A	10	STc10	C	O101	H10
R1B6B3	unknown	2005	PRJEB39260	SAMEA7047410	GCA_903977385.1	D	106	STc69	B	O17	H18
R1B6B4	Urinary	2005	PRJEB39260	SAMEA7047411	GCA_903977395.1	B2	12	STc12		O4	H5
R1B6B5	Urinary	2005	PRJEB39260	SAMEA7047412	GCA_903977435.1	B2	131	STc131	C2	O25b	H4
R1B6B6	Urinary	2005	PRJEB39260	SAMEA7047413	GCA_903977485.1	B2	95	STc95	D	O45	H7
R1B6B7	Multiple	2005	PRJEB39260	SAMEA7047414	GCA_903977495.1	B2	12	STc12		O4	H5
R1B6C14	Urinary	2005	PRJEB39260	SAMEA7047415	GCA_903977515.1	B2	14	STc14		O18	H5
R1B6C15	Urinary	2005	PRJEB39260	SAMEA7047416	GCA_903977415.1	B2	421	STc95	D	O1	H7
R1B6C17	Digestive	2005	PRJEB39260	SAMEA7047417	GCA_903977465.1	B1	906	ST906		O150	H8
R1B6C18	Digestive	2005	PRJEB39260	SAMEA7047419	GCA_903977445.1	C	88	STc88		O104	H10
R1B6C19	Urinary	2005	PRJEB39260	SAMEA7047420	GCA_903977405.1	B2	421	STc95	D	O1	H7
R1B6C2	Digestive	2005	PRJEB39260	SAMEA7047421	GCA_903977505.1	A	48	STc10	A	O86	H11
R1B6C3	Urinary	2005	PRJEB39260	SAMEA7047422	GCA_903977425.1	B2	73	STc73	C	O6	H1
R1B6C8	Urinary	2005	PRJEB39260	SAMEA7047423	GCA_903977475.1	B2	73	STc73	B	O25	H1
R1B6C9	Urinary	2005	PRJEB39260	SAMEA7047424	GCA_903977455.1	B2	73	STc73	F	O6	H1
R1B6D1	Digestive	2005	PRJEB39260	SAMEA7047430	GCA_903977525.1	A	10	STc10	B	Onovel1	H4
R1B6D10	Urinary	2005	PRJEB39260	SAMEA7047425	GCA_903977555.1	A	10	STc10	B	O8	H30
R1B6D11	Urinary	2005	PRJEB39260	SAMEA7047426	GCA_903977545.1	B2	73	STc73	D	O2	H1
R1B6D12	Digestive	2005	PRJEB39260	SAMEA7047427	GCA_903977535.1	C	88	STc88		O32	H9
R1B6D13	Digestive	2005	PRJEB39260	SAMEA7047428	GCA_903977565.1	B2	355	ST355		O120	H5
R1B6D16	Urinary	2005	PRJEB39260	SAMEA7047429	GCA_903977575.1	B2	95	STc95	D	O45	H7
R1B6D5	Digestive	2005	PRJEB39260	SAMEA7047431	GCA_903977595.1	B1	453	STc453		O23	H16
R1B6D6	Digestive	2005	PRJEB39260	SAMEA7047432	GCA_903977585.1	B2	14	STc14		O18	H5
R1B6E1	Urinary	2005	PRJEB39260	SAMEA7047437	GCA_903977605.1	B2	10918	STc12		O21	H5
R1B6E14	Digestive	2005	PRJEB39260	SAMEA7047433	GCA_903977625.1	D	6106	STc362		O7	H6
R1B6E15	Digestive	2005	PRJEB39260	SAMEA7047434	GCA_903977615.1	D	69	STc69	A	O17	H18
R1B6E17	Urinary	2005	PRJEB39260	SAMEA7047435	GCA_903977635.1	A	10	STc10	B	O12	H4
R1B6E19	unknown	2005	PRJEB39260	SAMEA7047436	GCA_903977685.1	B2	131	STc131	C2	O25b	H4
R1B6E2	Urinary	2005	PRJEB39260	SAMEA7047438	GCA_903977645.1	B2	12	STc12		O4	H1
R1B6E3	Urinary	2005	PRJEB39260	SAMEA7047439	GCA_903977665.1	B2	73	STc73	F	O18	H1
R1B6E6	Urinary	2005	PRJEB39260	SAMEA7047440	GCA_903977675.1	A	10	STc10	C	O101	H9
R1B6E7	Digestive	2005	PRJEB39260	SAMEA7047441	GCA_903977655.1	B2	141	STc141		O2	H6
R1B6E8	Urinary	2005	PRJEB39260	SAMEA7047442	GCA_903977705.1	B2	73	STc73	F	O6	H1
R1B6E9	Urinary	2005	PRJEB39260	SAMEA7047443	GCA_903977735.1	D	69	STc69	D	O17	H18
R1B6F10	Digestive	2005	PRJEB39260	SAMEA7047444	GCA_903977745.1	D	69	STc69	A	O17	H18
R1B6F11	Digestive	2005	PRJEB39260	SAMEA7047445	GCA_903977725.1	A	1263	STc10	C	O101	H10
R1B6F12	Urinary	2005	PRJEB39260	SAMEA7047446	GCA_903977755.1	B1	1800	ST1800		O82	H21
R1B6F13	Urinary	2005	PRJEB39260	SAMEA7047447	GCA_903977695.1	C	23	STc88		O78	H4
R1B6F14	Pulmonary	2005	PRJEB39260	SAMEA7047448	GCA_903977715.1	D	69	STc69	C	O17	H18
R1B6F16	Urinary	2005	PRJEB39260	SAMEA7047449	GCA_903977775.1	B2	12	STc12		O4	H1
R1B6F18	Urinary	2005	PRJEB39260	SAMEA7047450	GCA_903977765.1	D	130	ST130		O17	H18
R1B6F19	Urinary	2005	PRJEB39260	SAMEA7047451	GCA_903977795.1	B2	95	STc95	D	O1	H7
R1B6F4	unknown	2005	PRJEB39260	SAMEA7047452	GCA_903977835.1	C	783	ST783		O21	H9
R1B6F5	Urinary	2005	PRJEB39260	SAMEA7047453	GCA_903977845.1	B2	95	STc95	D	O1	H7
R1B6F7	Digestive	2005	PRJEB39260	SAMEA7047454	GCA_903977805.1	A	10	STc10	C	O101	H9
R1B6G11	Urinary	2005	PRJEB39260	SAMEA7047455	GCA_903977815.1	B1	453	STc453		O23	H16
R1B6G14	Multiple	2005	PRJEB39260	SAMEA7047456	GCA_903977825.1	B1	7394	ST7394		O8	H7
R1B6G16	Digestive	2005	PRJEB39260	SAMEA7047457	GCA_903977785.1	B1	1126	STc58		O8	H25
R1B6G2	Urinary	2005	PRJEB39260	SAMEA7047458	GCA_903977855.1	B2	95	STc95	E	O2	H4
R1B6G3	unknown	2005	PRJEB39260	SAMEA7047459	GCA_903977865.1	B2	390	STc95	B	O18	H7
R1B6G4	Urinary	2005	PRJEB39260	SAMEA7047460	GCA_903977875.1	D	1335	STc362		O7	H6
R1B6G6	Urinary	2005	PRJEB39260	SAMEA7047461	CAJDIS010000000	B2	73	STc73	F	O6	H1
R1B6G7	Pulmonary	2005	PRJEB39260	SAMEA7047462	GCA_903977935.1	A	10	STc10	B	O40	H32
R1B6G8	Digestive	2005	PRJEB39260	SAMEA7047463	GCA_903977905.1	B2	73	STc73	E	O6	H1
R1B6G9	Surgery	2005	PRJEB39260	SAMEA7047464	GCA_903977895.1	F	62	ST62		O7	H45
R1B6H1	Pulmonary	2005	PRJEB39260	SAMEA7047471	GCA_903977925.1	F	62	ST62		O7	H45
R1B6H12	unknown	2005	PRJEB39260	SAMEA7047465	GCA_903977915.1	B2	73	STc73	E	O6	H1
